lambda,variant,model,top1,latency_ms_b128,relative_latency,checkpoint_mb,params,utility,same_action_diff_state_win,same_state_diff_action_win
0.2,"3-block, H=36",Full,0.828851,3.443699795752764,1.0,21.48245429992676,5627136,0.628851,0.863081,0.979218
0.2,"3-block, H=48",Tiny,0.868159,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.830896521143528,0.909204,0.992537
0.2,"3-block, H=48",Small,0.853234,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8130302162127809,0.896766,0.997512
0.2,"3-block, H=48",Medium,0.883085,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8065575782859872,0.916667,0.995025
0.2,"3-block, H=48",Full,0.840796,3.443699795752764,1.0,21.48245429992676,5627136,0.6407959999999999,0.879353,0.992537
0.2,"3-block, H=72",Tiny,0.815981,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.7787185211435279,0.868039,0.992736
0.2,"3-block, H=72",Small,0.731235,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.6910312162127809,0.786925,0.991525
0.2,"3-block, H=72",Medium,0.842615,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.7660875782859872,0.887409,0.979419
0.2,"3-block, H=72",Full,0.818402,3.443699795752764,1.0,21.48245429992676,5627136,0.6184019999999999,0.857143,0.976998
0.3,"2-block, H=72",Tiny,0.953125,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.897231281715292,0.96875,0.986779
0.3,"2-block, H=72",Small,0.929087,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8687813243191713,0.953125,0.985577
0.3,"2-block, H=72",Medium,0.955529,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8407378674289807,0.97476,0.986779
0.3,"2-block, H=72",Full,0.97476,3.443699795752764,1.0,21.48245429992676,5627136,0.67476,0.986779,0.986779
0.3,"2-block, V=1.8",Tiny,0.994924,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.939030281715292,1.0,0.997462
0.3,"2-block, V=1.8",Small,0.98731,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.9270043243191713,0.992386,0.998731
0.3,"2-block, V=1.8",Medium,0.979695,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.8649038674289808,0.988579,0.997462
0.3,"2-block, V=1.8",Full,0.994924,3.443699795752764,1.0,21.48245429992676,5627136,0.6949240000000001,0.998731,0.998731
0.3,"3-block, H=36",Tiny,0.894866,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.838972281715292,0.933985,0.991443
0.3,"3-block, H=36",Small,0.897311,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.8370053243191713,0.93643,0.99511
0.3,"3-block, H=36",Medium,0.863081,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.7482898674289808,0.9022,0.984108
0.3,"3-block, H=36",Full,0.828851,3.443699795752764,1.0,21.48245429992676,5627136,0.528851,0.863081,0.979218
0.3,"3-block, H=48",Tiny,0.868159,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.812265281715292,0.909204,0.992537
0.3,"3-block, H=48",Small,0.853234,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.7929283243191714,0.896766,0.997512
0.3,"3-block, H=48",Medium,0.883085,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.7682938674289808,0.916667,0.995025
0.3,"3-block, H=48",Full,0.840796,3.443699795752764,1.0,21.48245429992676,5627136,0.540796,0.879353,0.992537
0.3,"3-block, H=72",Tiny,0.815981,0.6416039541363716,0.18631239428236,0.3932209014892578,100928,0.7600872817152919,0.868039,0.992736
0.3,"3-block, H=72",Small,0.731235,0.692248810082674,0.2010189189360956,1.1517658233642578,299776,0.6709293243191713,0.786925,0.991525
0.3,"3-block, H=72",Medium,0.842615,1.3176873326301577,0.382637108570064,3.986543655395508,1041792,0.7278238674289808,0.887409,0.979419
0.3,"3-block, H=72",Full,0.818402,3.443699795752764,1.0,21.48245429992676,5627136,0.518402,0.857143,0.976998
